frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.55116755,0.12152893,0.29644075,0.13339731,0.17363487,0.37099707,-0.023852505,0.09796603,-0.018702503,-0.011443538,0.35815245,-0.049956877000000004,0.26374716,0.3790335,0.28312070000000006,0.7052618,0.38119859,0.23268591,0.0012094062,-0.14090328,-0.14882246,-0.2021204,-0.017040987,-0.26193488,-0.4365085999999999,0.09867889,-0.15125625,-0.422256,0.37428758,-0.033573683,-0.15711324,0.48636055,-0.01786771,0.08305791,0.52700806,0.07580361,-0.49670374,0.23886448,-0.08091304,-0.6949772,0.29888934,-0.12164436,-0.6718203,0.19913812,-0.0020231432,-0.68836117,0.2557736,-0.017187033,-0.69236016,0.20422259,-0.05847916,-0.6266284000000001,0.33069184,-0.04960586,-0.63522506,0.22172889,-0.14440544,-0.01764802075922489,0.22805923223495486,-0.03432969003915787
2,0.55194825,0.14403355,0.3014878,0.13137545,0.17985085,0.3733941,-0.028973322000000003,0.09967765,-0.009881006,-0.0074274763,0.35702540000000005,-0.05805804,0.27862918,0.3729763,0.26801005,0.72364277,0.37184995,0.23158172,0.019168226,-0.14033543,-0.15041897,-0.20011921,-0.024678078,-0.24231109,-0.43572527,0.09653003,-0.13384433,-0.42337709999999995,0.38185474,-0.034040436,-0.15559049,0.4919901,-0.023482269,0.077964455,0.52673185,0.08733469,-0.4984595,0.24208670000000002,-0.07369727,-0.6978573,0.29747108,-0.120951675,-0.67519456,0.20373967,0.0039199709999999995,-0.69259894,0.2594394,-0.014290367,-0.6947244,0.20583092,-0.05311642,-0.63157916,0.33406794,-0.048965067,-0.6361916,0.22066835,-0.13875875,-0.018200399354100227,0.2283515334129333,-0.033969521522521966
3,0.5754236,0.15872929,0.13809039,0.20313753,0.12183119,0.3338359,-0.011397906999999999,0.09681826,-0.028725646,-0.029761402000000003,0.35998663,-0.036963936,0.26254594,0.39997628,0.28070852,0.59412056,0.45253366,0.005437460999999999,-0.0024801858,-0.12790605,0.08222405,-0.18765084,-0.09000853,-0.10152275,-0.43459496,0.060442187,-0.08335111,-0.42413306,0.36433536,-0.06471732,-0.18365657,0.52086705,-0.033329397000000004,-0.048700075999999995,0.6962472,0.10457332400000001,-0.5004966,0.22318643,-0.07152221,-0.6833979,0.29380155,-0.15512611,-0.68952847,0.24897103,-0.00462896,-0.69163936,0.29708818,-0.04272706,-0.7070911,0.23499602,-0.061117087,-0.6121882,0.33598298,-0.09327727,-0.64399636,0.20211369,-0.13944747,-0.02057965472340584,0.22840245068073275,-0.03284478932619095
4,0.43846887,-0.18524224,-0.07038078,0.05296339,-0.13606428,0.12551543,-0.08382909,0.15300347,-0.10072091,0.035545528,0.36069718,0.03483649,0.23313072,0.07933757,0.26517978,0.54578686,0.009765925,-0.037088946,0.21839145,-0.039149936,0.12203629,-0.047425628,-0.015950827,0.0588052,-0.3256348,0.06328805,0.1391405,-0.27220259999999996,0.32730505,0.26923385,-0.012914836,0.3148669,0.13818364,0.20951635,0.17216541,0.09301333,-0.3738309,0.1905248,0.2507126,-0.5832453000000001,0.20511514,0.34420326,-0.47721833,0.11137609,0.41182184,-0.50866556,0.16416138,0.41772044,-0.52761585,0.11271126599999999,0.3783995,-0.49112159999999994,0.25288296,0.36663365,-0.5372488000000001,0.14365813,0.2766063,-0.02414178103208542,0.2568503320217133,-0.032942213118076324
5,0.41492844,-0.16559024,-0.06380029,0.032868978,-0.1317096,0.13437466,-0.08423061,0.15472603,-0.10204329,0.037679199999999996,0.35770306,0.035837397,0.21691149999999998,0.07549266,0.27403378,0.5132475999999999,0.0072607094999999995,-0.040772684,0.20169084,-0.06375302,0.103477105,-0.06536169,-0.04119169,0.043684702,-0.33151558,0.06595430000000001,0.13028213,-0.26476157,0.3169933,0.27747446,0.0011468093,0.30912846,0.16126919,0.2193264,0.15998225,0.11996997,-0.37101209999999996,0.1866237,0.24974144,-0.57701075,0.21021932,0.33933246,-0.48484942,0.0977858,0.39809608,-0.5114741,0.15199777,0.40996313,-0.5326687,0.10874078,0.36301652,-0.48205918,0.24450317,0.37275590000000003,-0.53317386,0.15431216,0.2670387,-0.02327570505440235,0.2562145590782165,-0.03310294821858406
6,0.3961496,-0.14572226,-0.068145655,0.0227908,-0.122940116,0.14385867,-0.08469108,0.15605706,-0.10381846,0.038641922,0.35885265,0.03713317,0.19786593,0.07047198,0.27813518,0.4796126,0.018860372,-0.04980386,0.19913016,-0.10115467,0.08594586,-0.066062026,-0.04820552,0.033350445,-0.33289737,0.061603077,0.11590591,-0.2707865,0.3053437,0.27922514,0.0029445753999999998,0.28422856,0.18422560000000002,0.22337967,0.13680309,0.1359008,-0.37836668,0.17837696,0.23885499,-0.5896292,0.20330401,0.31751668,-0.5038117,0.08652738,0.3774615,-0.5297874,0.1413037,0.38960373,-0.54939115,0.099973485,0.34010643,-0.49594859999999996,0.23416135,0.35709092,-0.54320854,0.14863138,0.24573343,-0.023024577647447586,0.2574548721313477,-0.033342644572258
7,0.38042990000000004,-0.12862666,-0.06383308,0.023886345,-0.10594324,0.17036779,-0.07961541400000001,0.15295164,-0.10595798,0.034766406,0.36086905,0.035573702,0.17862597,0.07861725,0.29312867,0.44375256,0.04702513,-0.04524063,0.17874812,-0.12710072,0.04333607,-0.08675329,-0.06432222,0.0044016535,-0.34190297,0.06002330000000001,0.10163742,-0.27382421,0.29655135,0.276093,0.0060466174,0.28100395,0.1945259,0.22841206,0.13017945,0.16281189,-0.3823696,0.17046362,0.22903009,-0.5930265,0.18706518,0.30335897,-0.5090696,0.06542619999999999,0.35748082,-0.53571093,0.11895327,0.37290484,-0.55298835,0.08183765400000001,0.31930077,-0.50116134,0.21471304,0.34963740000000004,-0.5428288,0.13818267,0.22956716,-0.02242450416088104,0.2569103538990021,-0.03519213944673538
8,0.3743259,-0.10465835,-0.06330232,0.034485646,-0.08843346,0.19263598,-0.06838423,0.1462483,-0.10866239,0.023604076,0.36325526,0.03509201,0.13720123,0.10694560000000002,0.31938920000000004,0.39655918,0.08731107,-0.01809454,0.16666934,-0.13115962,0.020721981,-0.09755341,-0.07488089,-0.035058342,-0.34868973,0.04961782,0.07479568,-0.28045464,0.27449492,0.26653785,0.006585189599999999,0.26744726,0.20180418,0.22117364,0.103844196,0.18203546,-0.38984743,0.15511946,0.20964596,-0.59886485,0.18484162,0.27975866,-0.5206758,0.06660314,0.34875494,-0.5443187,0.12319702,0.35726166,-0.56438804,0.080095805,0.30918458,-0.5053319000000001,0.21233018,0.32142043,-0.5527726,0.12379122,0.21227294,-0.02239007689058781,0.2547517716884613,-0.03678518906235695
9,0.36827022,-0.08190263,-0.06465435,0.04427227,-0.07631146,0.20492253,-0.060979553,0.13781834,-0.10815297,0.015700715,0.366277,0.029843572999999998,0.09217255,0.14545153,0.33324152,0.35213858,0.1406344,0.005177458,0.16742139,-0.12232641,-0.007573665,-0.09894827,-0.07792277,-0.051520698,-0.3455013,0.037108917000000005,0.071607806,-0.29174316,0.27540645,0.25548476,-0.0036771385999999997,0.28792432,0.2068716,0.22292738,0.14441738,0.19091101,-0.39244083,0.14933713,0.19993834,-0.60142136,0.17991802,0.24940151,-0.5287093,0.07337817,0.34048092,-0.5536787,0.13002008,0.33939576,-0.56862605,0.080460854,0.29586205,-0.51267135,0.21425179,0.2956038,-0.5486279000000001,0.11120384,0.19555820000000002,-0.02263941988348961,0.25204765796661377,-0.03915470093488693
10,0.38323966,-0.07514555,-0.05607588,0.051475517,-0.07361153,0.20494528,-0.057739887000000004,0.13851026,-0.11294761,0.011515595,0.3653111,0.032367144,0.10463926,0.1658086,0.34442082,0.38514227,0.15458639,0.029655052,0.17189197,-0.083734244,-0.016007781000000002,-0.09618264,-0.059735663,-0.063430235,-0.35289398,0.04033995,0.052163295,-0.3150031,0.2811526,0.24026427,-0.028149066,0.33701983,0.20640583,0.22430731,0.24464256,0.20023492,-0.40905815,0.15236723,0.17823093,-0.6258967,0.16967714,0.22148383,-0.5448367,0.07031391599999999,0.31244642,-0.5748601999999999,0.124279045,0.31113175,-0.5848778,0.073764,0.26747847,-0.5413284,0.21209937,0.26804823,-0.5666161999999999,0.106445,0.16729769,-0.02311214618384838,0.2519106864929199,-0.040290236473083496
