frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.2084399,0.12961426,0.13396038,-0.030653447,0.38215908,0.36153546,-0.1176832,0.27966818,0.043272465,0.07070455,0.20331112,-0.13666114,0.07544432599999999,0.49282986,-0.11843317,0.27792296,0.17792177,0.09692809,0.3820895,0.27904898,-0.097118214,0.2140551,0.40195155,0.0767488,0.26885766,0.6218569,0.003635887,0.28582606,0.6029554,-0.18628883,0.2953496,0.4555281,-0.38631552,0.40648252,0.31336376,-0.18984808,0.2990352000000001,0.62890875,-0.08864726,0.34235042,0.7905475000000001,-0.057433605,0.4634449000000001,0.6878016,-0.03306955,0.44428915,0.737703,-0.06572689,0.4150535,0.7186078,-0.0077732652,0.37496114,0.7376706999999999,-0.14798728,0.31112337,0.7005428000000001,-0.013072312,-0.0234893262386322,0.2414896488189697,-0.04669433832168578
2,0.17885357,0.10997891,0.14574258,-0.04862445,0.3760659,0.3689701,-0.12503594,0.27117090000000005,0.030479651,0.08214201,0.20107917,-0.12560113,0.07066128,0.49535072,-0.10923543,0.28415250000000003,0.2077648,0.12987162,0.5411967,0.34337792,-0.08529114,0.34279042,0.41136453,0.08536157,0.2556868,0.6204960999999999,-0.014566056,0.27947167,0.58776844,-0.19792579,0.35459778,0.42840862,-0.37793878,0.5207419,0.3653062,-0.18381946,0.28479332,0.6211023,-0.09811395,0.32794335,0.77289826,-0.040513538,0.4545076,0.6738713000000001,-0.036839113,0.43147656,0.7261411999999999,-0.061031207,0.40680042,0.6984978000000001,-0.004733890300000001,0.35687870000000005,0.73338246,-0.1375575,0.30276859999999994,0.67645276,-0.005660131600000001,-0.021446965634822845,0.23612505197525024,-0.04756073653697968
3,-0.10212778,0.14033903,0.05919898,-0.014164344,0.5205865,-0.031519026,0.016524966999999998,0.2936272,0.106467366,-0.06738739,0.19999038,-0.13675898,0.052433826,0.36747223,-0.2995378,0.012476316,0.099203035,0.012136288,0.44020668,0.23897122,-0.05098294,0.31385833,0.4107898,0.11813165,0.28360102,0.5805637,-0.04315646,0.28949395,0.5645336999999999,-0.2142774,0.3242341,0.3848492,-0.37619308,0.43258542,0.24551345,-0.1775649,0.30862397,0.58058226,-0.11958173,0.35932988,0.71207976,-0.048659798,0.46432424,0.5913736999999999,-0.031564176,0.45638284,0.65063083,-0.05181536,0.41519243,0.62036717,-0.007755041,0.4035384,0.6792754,-0.14190635,0.31473002,0.6189231,-0.038030475,-0.0254312101751566,0.246808797121048,-0.015145808458328247
4,-0.028640684,0.1552416,0.09069122,-0.027070697,0.49719793,-0.121380374,-0.00010173768,0.31756607,0.096065715,-0.050629586,0.17461142,-0.13491789999999998,0.03708004,0.39509764,-0.26059496,0.026896015,0.12255936,0.03588391,0.35560578,0.19298695,-0.08151296,0.28174368,0.3801227,0.104129314,0.28195328,0.5713043000000001,-0.042902425,0.31098002,0.5334005,-0.22159219,0.30903867,0.36546984,-0.40673316,0.36096793,0.20408857,-0.19994429,0.31840497,0.55766356,-0.12232705,0.38484415,0.68550575,-0.052008063,0.4756137,0.5534631999999999,-0.03054756,0.47391665,0.61188006,-0.05487886,0.43180487,0.5898371,-0.0070123076,0.4217074000000001,0.6416957,-0.14433096,0.32911792,0.59897697,-0.033330202,-0.02536566182971001,0.2460887432098389,-0.019426092505455017
5,0.027063083,0.16317353,0.08884718,-0.032268602,0.4673575,-0.16579777,-0.007964463,0.32379640000000004,0.091586635,-0.040026195,0.16513634,-0.13383929999999994,0.02854661,0.4202597,-0.22878389,0.06211277,0.14797318,0.066918105,0.31203797,0.1527602,-0.10154412,0.2662436,0.35207716,0.07793126,0.27676398,0.55965173,-0.048575226,0.31851503,0.4910237,-0.22735626,0.29319695,0.3258801,-0.4180872000000001,0.31404492,0.15804124,-0.2158759,0.31867588,0.5330597,-0.12876584,0.40254983,0.6651578,-0.07170166,0.4829895,0.5286411,-0.03828846,0.48450622,0.58269644,-0.07131088,0.44504738,0.5723319,-0.01689069,0.42671776,0.6063556,-0.15934184,0.34092638,0.58786464,-0.035344362000000004,-0.023995328694581985,0.2444663643836975,-0.021126329898834232
6,0.10714332,0.18757807,0.08176652,-0.033576824,0.46114826,-0.1773361,-0.0073916665,0.32549602,0.091679454,-0.042715807,0.16419697,-0.13439663,0.012885893,0.4379091,-0.20852819,0.11298366,0.15303011,0.06059905,0.27275595,0.08930103,-0.1291688,0.26417142,0.29567033,0.05122456,0.29784253,0.5189018,-0.049075287,0.31709078,0.45819336,-0.24459878,0.28546214,0.27000073,-0.41594094,0.27528524,0.10222783,-0.20913294,0.32711816,0.49975407,-0.1388986,0.41744676,0.6246974000000001,-0.07812058,0.49370062,0.4832602,-0.05734594,0.49658102,0.5393296,-0.086492896,0.45797262,0.5264734999999999,-0.031721175,0.43646157,0.5721253000000001,-0.17130812,0.35385025,0.5466205,-0.04485184,-0.0250537358224392,0.24484649300575256,-0.02135858684778213
7,0.16571817,0.21282823,0.05160126,-0.057634443,0.44769266,-0.2010491,-0.032032575,0.33543214,0.08019422,-0.018972162,0.14235018,-0.12144151,-0.022816801,0.42004746,-0.22297618,0.15054017,0.17936537,0.05873712,0.2194726,0.060962774,-0.103608504,0.23137128,0.2854793,0.03967584,0.27528575,0.5131340999999999,-0.058196057,0.30201602,0.44210494,-0.24678066,0.2418853,0.24537112,-0.39938724,0.21671717,0.07454754,-0.21127443,0.30653387,0.4912898,-0.14262427,0.3841218,0.6148639,-0.07569472,0.46728876,0.4779133,-0.052440703,0.46901187,0.5346794,-0.08018379,0.42802113,0.51813114,-0.027900487,0.41077858,0.56649363,-0.16671329999999998,0.32283932,0.53240246,-0.047449157,-0.025502368807792664,0.23889115452766416,-0.020623646676540368
8,0.18051305,0.27773333,0.060236473,-0.06863344,0.413642,-0.22944686,-0.044266816,0.34111404,0.07046378,-0.009545635,0.1307636,-0.110403955,-0.01644769,0.39894074,-0.2453153,0.17037293,0.20487611,0.058719743,0.16098586,0.028161742000000007,0.04819057,0.1948385,0.27314293,-0.03869674,0.26190525,0.5031907999999999,-0.07141901,0.29620636,0.42185605,-0.23839661,0.20420416,0.23345697,-0.3664279,0.15692920000000002,0.056553487,-0.18744923,0.29446638,0.47512776,-0.14413084,0.39559034,0.5947369,-0.09701738,0.45469224,0.45061713,-0.05185187,0.46451163,0.5008736,-0.08986442,0.42422166,0.501116,-0.03383033,0.4078588,0.52968264,-0.1786976,0.32068850000000004,0.5304204,-0.052269965,-0.026906225830316544,0.23593881726264954,-0.019970089197158813
9,0.20953985,0.2915208,0.03040743,-0.09041992,0.42050076,-0.23545705,-0.07301985,0.33411816,0.06166351,0.023226697,0.12805691,-0.10295268,-0.05899186,0.40049666,-0.23029885,0.18632579,0.21583891,0.05132195,0.101145215,0.054133404,0.09929323,0.14605576,0.279996,-0.027765892,0.23164415,0.5045677,-0.04673143,0.26390183,0.46211937,-0.23166203,0.14793678,0.28994924,-0.35787225,0.10869082,0.08305516,-0.20527211,0.26500633,0.49254206,-0.13017248,0.37782678,0.6000154999999999,-0.07749521,0.42389527,0.44684786,-0.051639363,0.43809482,0.50071084,-0.08337735,0.398391,0.4972735,-0.026676416,0.38254464,0.54531837,-0.1675669,0.29794240000000005,0.5379619999999999,-0.039364606,-0.02489657513797283,0.2310875356197357,-0.020644586533308036
10,0.226706,0.33183825,0.0074775395999999985,-0.11491101,0.39808655,-0.23491034,-0.0779715,0.3250066,0.064506225,0.031425275,0.13386776,-0.10631664,-0.0934275,0.4017273,-0.21392588,0.216008,0.31781188,0.056815743,0.046310574000000014,0.0986719,0.14846502,0.11509051,0.3052748,-0.0007168333,0.20786323,0.5198576,-0.027612034,0.23661067,0.5017456,-0.20954587,0.08810649,0.35325453,-0.31831604,0.049190763,0.10798192,-0.23396671,0.2386284,0.5137805999999999,-0.10785083,0.36243427,0.6133712,-0.08358263,0.39329615,0.46233726,-0.03334409,0.41089395,0.5077053,-0.07491407,0.3751492,0.5189875,-0.016447231,0.35453427,0.5440326,-0.16298054,0.27880254,0.5683676,-0.030927643,-0.023273114114999768,0.2294371724128723,-0.020905207842588425
